thread_id,customer_message,reference_reply,suggested_intent,suggested_route,true_intent,true_route,route_reason
2710401,"overwatch digital code, gift card has already been redeemed.",We'll occasionally ask you to have a card on file for verification purposes or if your gift card do…,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational payment-method question
1273242,You can't find the order details from tracking id? Then what's your utility? Do you have feelings S…,"Twitter being a social media platform, we wouldn't be able to access your account directly from her…",delivery_issue,auto_handle,delivery_issue,auto_handle,"Order not arrived, common pattern"
382265,"Well OK, but we don't normally give our details to strangers. Actually we do, if they have carrots.","Hey, we got your bleats... I mean deets. We'll be in touch shortly:-D.",other,escalate,other,auto_handle,"Playful banter, no real support need"
2758126,"Well excuse me, but I can’t seem to find the answer I’m trying to ask. How Can I watch “ how I met…","Sadly it looks like How I Met Your Mother is not included in the Prime Video Membership. However, S…",order_inquiry,escalate,order_inquiry,auto_handle,"Content availability question, common pattern type"
563925,Android.,"Thanks for letting us know, Eli. We'd like to look into this further with you. Please reach out to…",account_technical,auto_handle,account_technical,auto_handle,Kindle app troubleshooting
982997,"Not those, but a huge fan of the Pixar movies.","Mr. Incredible, we'd like to get to know you better. Please fill in your details here and confirm.",other,escalate,other,auto_handle,"Off-topic banter, no real support need"
320883,trimmer and bedsheet means the same! I can keep the bedsheet if it's a Diwali gift but send me the…,"That's wishful thinking, isn't it? We'd want you to have your trimmer, hope you've requested a repl…",delivery_issue,escalate,other,auto_handle,"Wrong item sent -- a fulfillment error, not a transit/delivery issue"
343775,I called I was rudely told returns take 2 weeks was disconnected twice after being out on hold mult…,Did you have a chance to send us feedback via the survey at the bottom of the e-mail? Information o…,delivery_issue,auto_handle,delivery_issue,auto_handle,Return pickup delay
963198,I ordered at about 1am same day (said tonight between 6-10pm) They still say our for delivery...,Thanks for the info. Please contact us here so we can look into this with you.,delivery_issue,auto_handle,delivery_issue,auto_handle,Items not delivered as promised
351927,"Hi, i have my Kindle Voyage screen broken. Where can I get it fixed in Dubai?",We do not offer a repair service and cannot recommend. It would be best if you contacted us here.,other,auto_handle,order_inquiry,auto_handle,Informational repair-service question
1822291,Hey your usps carrier keeps marking packages ‘delivered’ when they aren’t. This is the 4th time in…,"Hey, very sorry to hear. This is not the service we expect. Have you been in touch directly about t…",delivery_issue,auto_handle,delivery_issue,auto_handle,Repeated false delivery scans
316497,Doesnt say there is a delay.,It is rare but the delivery date can change. Sorry about that!,delivery_issue,auto_handle,delivery_issue,auto_handle,Delivery date pushed back
1038889,it is pathetic customer service from your team have not received since past 2 months for order no 4…,"Sorry about the bad experience. We'd like a closer look, please drop in your details here.",delivery_issue,auto_handle,delivery_issue,auto_handle,Long-outstanding non-delivery
619081,"not refund 26,000/- INR the sameway because the product would never be delivered as the seller clos…","We'd like to help you in this, however, we can't access your account from Twitter. Please respond t…",billing_dispute,escalate,billing_dispute,escalate,"Refund dispute, financial risk"
2771654,I am eligible to win 500 as Amazon Pay Balance...,Could you please let us know which promotion you're referring to?,other,auto_handle,other,auto_handle,Unclear/incomplete statement about a promotion
534217,I’ll try.,Please keep us informed if this fixes your issue!,other,auto_handle,other,auto_handle,Thin acknowledgment reply
1225177,Will the 1st gen Amazon Echo sync music with a 2nd gen Echo Dot in separate rooms?,Let's look into this together to see what options we have by phone or chat here.,order_inquiry,auto_handle,order_inquiry,auto_handle,Device capability question
522630,"Hey, I can't mark that I'm purchasing an item on a friend's wish list elsewhere because after the l…",We'd like to have a closer look into this. Please report this to our support center here. We'll ass…,account_technical,auto_handle,account_technical,auto_handle,Website login redirect error
2880452,Have already placed the order. Hope I will get cash back as mentioned in the same T&amp;C.,I get your concern regarding the cashback. I'd like to inform you that if you've met the eligibilit…,billing_dispute,escalate,billing_dispute,escalate,"Cashback/discount dispute, financial risk"
2295136,"order # 404-0609689-3489129, product not deliverd till today, for 5 days product stuck in kolkata f…","I understand your concern, we certainly did not expect this to happen, please contact us here so th…",delivery_issue,auto_handle,delivery_issue,auto_handle,Order stuck in transit
1117042,"Completely unnecessary too - I saw him from upstairs and was on way to front door, but he rammed it…","When you have a moment, please also phone us here to report this and leave courier feedback. [2/2].",delivery_issue,escalate,delivery_issue,auto_handle,"Driver-behavior complaint, common pattern type"
175439,My ring light came today and it’s absolute dog shit and now can’t use it on clients tomorrow 😡 the…,"Oh no, Melissa! That's not good! You can look into available return options here.",other,auto_handle,other,auto_handle,"Defective/incompatible product, not a transit issue"
2784470,Could it be because the amazon locker was full? Just resubmitted the order but with home delivery a…,"It may not have been able to be delivered to the locker for multiple reasons, the capacity may inde…",delivery_issue,auto_handle,delivery_issue,auto_handle,Locker delivery confusion
2742960,Its been over a week... no revert.. when will i get my #CASHBACK for:(.,I'm sorry to learn that you've received update regarding cash back; this shouldn't take so long. Pl…,billing_dispute,escalate,billing_dispute,escalate,"Cashback dispute, financial risk"
735687,I am pleased that action regarding this has taken.,Our support team will surely help you out. Do keep us posted for further support.,other,auto_handle,other,auto_handle,"Unclear underlying issue, positive follow-up"
357381,"This problem, which Amazon seems not to want to fix. I purchased Amazon prime to be able to watch o…",We'd like to troubleshoot with you over phone or chat. We're available 24/7.,account_technical,auto_handle,account_technical,auto_handle,Streaming app unusable on device
1585317,"Even though the option of exchange is visible, it is not available for any pin code.","For more info, please refer here. (3/3).",order_inquiry,auto_handle,account_technical,auto_handle,Website exchange-offer feature not functioning
268192,so the Thursday night game won't load. I have 250 mps internet. Wtf!,I'm sorry it's not loading! Are you getting any error messages? Have you tried restarting your devi…,account_technical,auto_handle,account_technical,auto_handle,Streaming won't load
2513689,Hey has the email customer service option no longer available on the app??,"Hello, we have active our chat/phone us option available. Are we able to help you with anything tod…",account_technical,auto_handle,account_technical,auto_handle,App support-option question
281712,Any estimate how much time it will take as now I don't have even my money to purchase a new one fro…,We'll get back to you as soon as possible.,delivery_issue,auto_handle,delivery_issue,auto_handle,"Order not received, common pattern"
2440690,I was suppose to return a parcel today through but my closest shop closed today at 17:45 &amp; they…,We don't have access to accounts via Twitter. For the most accurate information regarding this barc…,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational barcode-validity timing question
93618,It says Amazon.,We'd like to look into this with you. Please fill in some details here so we can take a closer look…,delivery_issue,auto_handle,delivery_issue,auto_handle,Tracking mismatch
739788,this has been delayed twice. I understand monday because Columbus day. Yesterday itbsaid it would b…,"Apologies, this is not the service we expect. Reach out- we'd like to escalate with the carrier.",delivery_issue,auto_handle,delivery_issue,escalate,Reference reply explicitly says they'd escalate with the carrier
529084,"Yes I pay for the expanded sub, I have 1000 or so songs uploaded.","Hi, you can reach out to our team here. We can look into this further for you.",account_technical,auto_handle,account_technical,auto_handle,Music storage subscription issue
1038887,there was no pick up of return product although it was scheduled for 14th.,I'm sorry about the delay in pick up. Please reach out to us here we'd like to help.,delivery_issue,auto_handle,delivery_issue,auto_handle,Return pickup missed
1355369,This pen is ALL THAT WAS IN THIS BOX WTF.,"We're always looking for ways to improve, Dell! We'd like to hear your packaging feedback here.",delivery_issue,auto_handle,other,auto_handle,"Missing item from box -- fulfillment error, not a transit issue"
2549464,Thanks - will do.,"You're welcome, Sumita. If you have further questions or concerns, please be sure to let us know. W…",other,auto_handle,other,auto_handle,Acknowledgment/thanks
385059,Its quite urgent...There is a marriage in my family nd i m supposed to wear it...i hope u wil under…,"I do get your concern, however, we'll deliver the package as soon as possible.",delivery_issue,escalate,delivery_issue,auto_handle,"Shipping-speed complaint, common pattern type"
2276476,"I will try clearing the cache and uninstall/reinstall after the game. However, this is the only app…","Please et us know the outcome of the troubleshooting steps! This should resolve the issue. If not,…",account_technical,auto_handle,account_technical,auto_handle,"App crashing, troubleshooting"
332446,After 25 days u r saying order is cancelled we have initiated refund.what is the need of refund now…,I get your frustration and I'm truly sorry about this. I have shared your feedback to the concerned…,delivery_issue,auto_handle,delivery_issue,auto_handle,"Non-fulfillment turned refund, common pattern"
1232890,I want to be blackout era Britney at the bars this Friday. Does have size 12.5 stilettos?,Hello there! We're here to help any way we can. We have a few options here. Hope this helps!,order_inquiry,escalate,order_inquiry,auto_handle,"Product size availability question, common pattern type"
2871592,Well... the people at messed up another shipment. I don't know Why I pay for prime if I have to wai…,"This isn't the service we aim to provide. Just to confirm, did we miss the delivery date in the con…",delivery_issue,auto_handle,delivery_issue,auto_handle,"Shipment issue, common pattern"
2317037,Please follow me so I can DM you;).,Here's a link you can use to DM us.,other,auto_handle,billing_dispute,escalate,"Double charge revealed in thread context, financial risk"
1922858,I have tried several times now. Nothing in spam nothing just nothing. How do I chat with a rep or m…,Please feel free to call or e-mail us using this link. We look forward to hearing from you soon!,account_technical,auto_handle,account_technical,auto_handle,Password reset not working
626598,got my watch delivered but open box without charger and was already used.,"I'm sorry for that. Please report this to our team here, and we'll assist you accordingly.",delivery_issue,auto_handle,delivery_issue,auto_handle,Item received used/opened
2673446,"help: ordered a book, lost in transit. You sent another one free without me claiming it. I got both…",Please return one of the books. Just go to our returns center.,delivery_issue,auto_handle,delivery_issue,auto_handle,Book lost in transit
313862,I can’t return it because the item wasn’t delivered like it said it was...,Please contact here for help.,delivery_issue,auto_handle,delivery_issue,auto_handle,Misdelivered order
1445306,I wasn’t able to find the promo again or chose another book.,"Have you tried reaching out directly to Audible regarding this? If not, click here.",order_inquiry,auto_handle,order_inquiry,auto_handle,Order/promo informational question
2952252,it's nice if your drivers give customers a little longer than 3 seconds to answer the door before t…,Thank you for letting us know. We certainly don't want this to be your experience and we'd like to…,delivery_issue,auto_handle,delivery_issue,auto_handle,Driver behavior complaint
490405,I was being sarcastic 😂😂 My parcel is nowhere to be seen but your website claims it's at my house..…,Have you checked to see if it was possibly delivered to your neighbor or if a notification of attem…,delivery_issue,auto_handle,delivery_issue,auto_handle,Parcel missing despite marked delivered
2284884,"why amazon key won’t work in Chicago. Drivers rude, don’t deliver to the right 🚪, won’t shut gate a…","This is definitely not the service we strive to provide, Lynda! I'm so sorry this happened to you.…",delivery_issue,auto_handle,delivery_issue,auto_handle,"Mishandled delivery, rude driver"
2500703,Yeah I received the code for the locker at 14:00 today then the email to say it’s been collected wi…,Oh my goodness! That does seem conflicting! Please reach out to us here so we can properly investig…,delivery_issue,auto_handle,delivery_issue,auto_handle,Locker pickup confusion
490549,"Hey, had ordered some stuffs Amazon IN; had received damaged stuff,despite raising 3 complaint sell…",We've received your details. We'll get in touch with you soon. Appreciate your patience.,delivery_issue,auto_handle,billing_dispute,escalate,"Refund eligibility dispute, financial risk"
2078463,"please stop using, your 2 Day ""guaranteed"" service is never delivered in 2 days, and often have to…",I'm sorry for the delivery issues. Reach out to us here so we can leave carrier feedback.,delivery_issue,auto_handle,delivery_issue,auto_handle,Shipping-speed guarantee complaint
2694969,"Yes, I'm trying to watch ""I love America"" but as the show is selected and starts it plays ""I love b…",Have you tried to uninstall then reinstall the Hulu application?,account_technical,escalate,account_technical,escalate,"Specific/unusual app bug, unlikely to have strong precedent"
2515813,"Just got Assassin’s Creed Unity &amp; Syndicat from 💯👍🏻 Holes, cracks &amp; dents.",I'm sorry to see your package arrived damaged! You can set up a return here Thank you!,delivery_issue,escalate,delivery_issue,auto_handle,"Damaged items, common pattern type"
2817805,done that already. They say the parcel has been lost. Transaction will be closed but what about my…,on the e-mails and respond to the correspondence when needed. 2/2.,delivery_issue,auto_handle,delivery_issue,auto_handle,"Lost package, repeat contact"
517721,"Thank you for using easily removed labels on your boxes. This one came from Mississauga to Calgary,…","But, of course. Re-purposing rocks and so do you! Thanks for showing off your savvy this Holiday se…",other,auto_handle,other,auto_handle,Positive feedback about packaging reuse
2501977,Hi there that’s the first game. Bit strange why Amazon doesn’t have the sequel available?,Sorry about that; the sequel to this title is available from these third-party sellers via this lin…,order_inquiry,auto_handle,order_inquiry,auto_handle,Product availability question
1595929,"Hmm has to be their biggest customer, they treat ppl like they don’t have jobs or a life? Poor &amp…",I'm sorry for the delay. Please let us know upon the arrival of your order. We want to ensure it ar…,delivery_issue,auto_handle,delivery_issue,auto_handle,Missed delivery attempt
1405306,"Hi, that's the link for North America, I'm in the UK.",I apologize for the mix-up! Here is the correct link to reach us directly via phone or chat in the…,other,auto_handle,other,auto_handle,Regional support-link correction
865851,Yeah. Response was good &amp; they have asked the courier service for delivery. Hope to get it toni…,We hope there will be nor more hassles on this order. Do keep us posted if there is any further tur…,delivery_issue,auto_handle,delivery_issue,auto_handle,Ongoing delivery issue follow-up
122682,I don't know where to find this information on the Orders page.,We'd like to look into this with you to see what options are available. Please reach out to us by c…,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational how-to question about Orders page
916585,Thanks for the concern. However my issue have been solved.,Glad to know that. I'll be sure to pass on your feedback to the concerned team.,other,auto_handle,other,auto_handle,"Positive closure, issue resolved"
470794,Amazon is fraud company.,We will reach out to you over DM.,other,auto_handle,other,auto_handle,"Vague fraud accusation, no specifics"
980756,£50 kids UGG boots left on top of bin in broad daylight!! This AGAIN is not my SAFE place!!!!!,Sorry to see this Steve - pls contact us so we can escalate to the carrier.,delivery_issue,auto_handle,delivery_issue,escalate,Reference reply explicitly says they'd escalate to the carrier
2775859,"ahhhh I just love the fact that I paid for two day shipping, and even though I will not receive my…",Sorry to hear. What date were you given on your order confirmation email?,delivery_issue,auto_handle,delivery_issue,auto_handle,Shipping-speed complaint
2316926,Today canceled my prepaid Prime membership without asking or permission. They refused to reinstate…,Hi Marc- I'm really sorry to hear that. Have you been advised as to why your membership was cancele…,billing_dispute,escalate,billing_dispute,escalate,"Membership cancelled without permission, financial risk"
1232103,"Please check, But question is still that? Why you not refund my amount in 24 hrs??? Why mentioned t…","I'm sorry to see you upset with the resolution provided, this isn't social media 1/2.",billing_dispute,escalate,billing_dispute,escalate,"Refund timing dispute, financial risk"
2962654,I think there was supposed to be a jar of Baxter of California Clay Pomade in here.,"Truly sorry for any inconvenience caused, we're here to help! With Twitter, we're unable to access…",delivery_issue,auto_handle,other,auto_handle,Item missing from package -- fulfillment error
995448,"Thank you! So once I cancel it, I should be able to use the household prime account?","Yep! Once you cancel, refresh your page, and you should still show the Prime logo in the top left c…",order_inquiry,auto_handle,order_inquiry,auto_handle,Informational membership eligibility question
866106,worst support..,I'm sorry your issue hasn't been resolved yet. We'd like to look into it. Kindly share your details…,billing_dispute,escalate,billing_dispute,escalate,"Payment refusal/installment dispute, financial risk"
924447,It's disgusting that someone's gum is at the bottom of the item inside the package I just opened. S…,Oh no! I'd like a member of my team to look at this for you. Please provide detailed info here.,delivery_issue,auto_handle,other,auto_handle,"Product contamination/QC issue, not a transit problem"
2827315,"Yeah I guessed, so much harder to fit deliveries round work. Haha totally first world problem ay? 😂…",😊 You make sure you enjoy your day! Cyber Monday is always a great fun 😎.,other,auto_handle,other,auto_handle,Lighthearted acknowledgment
1457922,Yeah it says today and nothing..,We're happy to look into the delivery and all available options here.,delivery_issue,auto_handle,delivery_issue,auto_handle,Late Prime delivery
948856,When are you streaming season 3 in Argentina? Please I need to know!😭 #AmazonPrimeVideo #MrRobot #A…,I get your concern. Content is geo specific. Please refer here for more info.,order_inquiry,auto_handle,order_inquiry,auto_handle,Content availability timing question
69267,"I haven't, I'll try and get back to you.",Keep us updated.,account_technical,auto_handle,account_technical,auto_handle,Streaming troubleshooting follow-up
2380817,Ordered one raincoat to counter the chennai rains. Pathetic customer and Courier servixe and full o…,I'm sorry for the delay in the delivery. Kindly report this to our support team here &amp; we'll lo…,delivery_issue,auto_handle,delivery_issue,escalate,"Integrity accusation plus retention threat, reputational risk"
2371327,Lol what do you do if someone steals your amazon package from your front door?,If that were to happen I would say reach out to us in real time by phone or chat using this link so…,delivery_issue,auto_handle,order_inquiry,auto_handle,"Hypothetical/general question, not a personal incident report"
38096,They have not replied.,"If the seller doesn't respond within 2 business days, please see.",billing_dispute,escalate,billing_dispute,escalate,"Unauthorized charge, financial risk"
1662031,"hi, I have some money remaining on a All4One giftcard - can this be added to my Amazon account? I c…",We're here to help! You find information on applying gift cards to your account here.,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational gift-card question
1502847,Done.,"Great! I'm glad this has been resolved for you, Robert. Please let us know if you have any further…",other,auto_handle,other,auto_handle,Thin acknowledgment
1490887,i ordered a moto g5s but i received a damaged mobile. when i called custumer care they told me they…,Sorry about the delay in picking your order. Kindly fill this form &amp; I'll get back to you.,delivery_issue,auto_handle,delivery_issue,auto_handle,Damaged item received
267307,Can you tell me how your company thinks it's ok for it's drivers to leave my packages in front of m…,"We'd like to help. To better assist you, can you verify for me the carrier that delivered this?",delivery_issue,auto_handle,delivery_issue,auto_handle,Delivery placement complaint
1603096,I want to know frm u wat is the 'tax' that is charged on each product? And is this charged by u or…,Please connect with our support team here. We'll assist you with your tax queries.,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational tax question
390019,"Dear please choose better courier than They're fooling Nobody tried to deliver,I was present at my…",That's rather unusual. I'll take this feedback and forward it internally. Please wait for the next…,delivery_issue,auto_handle,delivery_issue,auto_handle,Failed delivery attempt dispute
602309,It's OK they left it in the locked garage ten foot away #not #joke #poorservice.,I'm sorry to see this! We'd like to make sure your feedback is documented for this order. When you…,delivery_issue,auto_handle,delivery_issue,auto_handle,Parcel left insecurely
2725836,have been waiting for a replacement of firestick for more than 20 days now.no update. #dissapointed…,"My apologies for the experience you had, Manisha. May I know If you've reported this to our support…",delivery_issue,auto_handle,delivery_issue,auto_handle,Delayed replacement
1345582,Shipped the 25th with 2day delivery. That is YOUR problem to correct.,I'm sorry for the troubles. We ask that you allow until 8pm for delivery. We still intend to meet t…,delivery_issue,auto_handle,delivery_issue,auto_handle,Shipping date confusion
1718306,I ordered pants and a shirt and they never came! Says delivered Wednesday. #badservice #unhappycust…,I'm sorry you haven't received your order! Please reach out to us here so we can take a closer look.,delivery_issue,auto_handle,delivery_issue,auto_handle,Marked delivered but not received
1201283,Mail sent on your email id as well as submitted plz check.,"Thanks for sharing the details, we are working on it, we will get back to you soon. Appreciate your…",delivery_issue,auto_handle,delivery_issue,auto_handle,Ongoing form-submission follow-up
453284,"I am getting conflicting information on an order! Please help! UPS says estimated deliv 11/29, emai…","Our carriers do deliver until 9 PM. If it doesn't arrive, please let us know!",delivery_issue,auto_handle,delivery_issue,auto_handle,Conflicting delivery date info
2367350,"Hi, Following are the 3 orders that Amazon failed to deliver 406-6386589-6197142, 406-5181980-85971…","We have responded to this query here, Navinash. Please check. Please don't provide your order detai…",delivery_issue,auto_handle,delivery_issue,escalate,"Multi-order decision support needed, wrong advice could be costly"
2914526,"help, package says delivered yesterday but it wasnt?????","Hello Amelia! I'm sorry you've not received your package, have you tried using these tips to locate…",delivery_issue,auto_handle,delivery_issue,auto_handle,Marked delivered but not received
2747171,It's a nightmare!! Try explaining that to an 8 yr old who has been waiting since August!! So wrong…,"Nikki, I'm sorry to hear you haven't received your DVD as of yet. WIll you please tell me, without…",delivery_issue,auto_handle,delivery_issue,escalate,Unique high-profile pre-order situation
1221878,Yes. Multiple times.,Let's troubleshoot this in real time. Please call or chat with us here.,account_technical,auto_handle,account_technical,auto_handle,App troubleshooting
313890,price of 375 inflated to 575 to show as lightening deal. isn't this unethical &amp; misleading? #Am…,Pricing is a decision of the seller and our prices do fluctuate on regular basis. The price you cur…,billing_dispute,escalate,billing_dispute,escalate,"Deceptive pricing complaint, financial risk"
1340605,Nope it says not yet shipped. Same item says if I order it today expected delivery is the 29th. Doe…,I apologize for the wait! We strive to deliver by the date given at checkout.,delivery_issue,auto_handle,delivery_issue,auto_handle,Shipping status confusion
793935,"Sir nowhere on website it was mentioned that it was Diwali sale Amazon website was showing ""Dhanter…",Great India Festival held between 14-17th Oct was for all the customers to shop for Diwali. Appreci…,other,auto_handle,account_technical,auto_handle,Confusing/mislabeled website promotion banner
2129055,Hi thanks for quick delivery but sometimes your packaging is massive in relation to the item with t…,"We're always looking to improve, Hannah! When you can, could you pass your feedback on here.",other,auto_handle,other,auto_handle,Positive feedback with packaging suggestion
2528782,I’m having the hardest time figuring out how to purchase and download book ‘Braving The Wilderness’…,I'm sorry for the trouble! You can find 'Braving the Wilderness' for purchase from here.,order_inquiry,auto_handle,order_inquiry,auto_handle,Informational how-to-purchase question
585792,to recieve my parcel? N not to renew my prime membership (once it expires) Bhavin Jogi 8879682869 D…,Apologies for the miss on delivery. Could you please report this to our support team here so that t…,delivery_issue,auto_handle,delivery_issue,auto_handle,Delivery status update
1661520,"Two from Amazon, one from a different seller.",I'm sorry Austin for the disappointment this misunderstanding has caused.,other,auto_handle,other,auto_handle,"Shipping-policy grievance, doesn't cleanly fit a category"
276492,Wow #VIP2 in Prime.. Awesome &amp; watched in my tablet. If your app supported in Airtel Digital IP…,"I'm glad that you liked our content, your comments will be forwarded to the relevant team as feedba…",other,auto_handle,other,auto_handle,Positive feedback/feature request
2111059,That link is a Kindle support page. That's how clueless is!,"I get your concern, Mohit. The companion app is the Alexa app which is linked to the Alexa. For any…",other,auto_handle,other,auto_handle,Meta-complaint about wrong support link
255740,Frikkin FINALLY although. could have used less packaging but I digress.,"Glad you received your item! I am sorry about the packaging, though. Please leave feedback here.",delivery_issue,auto_handle,delivery_issue,auto_handle,Delayed item finally arrived
958206,Is this real?,Hello. Please use the information on the following Help page to report this to us.,delivery_issue,auto_handle,other,auto_handle,"Unclear/nonsensical message, no discernible issue"
2829449,Dear please tell me why I am paying you for your one-day delivery to tell me it'll be delivered on…,One day delivery is from the date of dispatch. Apologies for any confusion caused.,delivery_issue,auto_handle,delivery_issue,auto_handle,One-day delivery not honored
2291895,Thank you for your reply spoke to your customer care.,Glad we were able to help you. Thank you for keeping us posted.,other,auto_handle,other,auto_handle,Thank-you acknowledgment
2533177,They were sold by ST3 Group! Ugh I'm so sad!,Have you reached out to the seller directly with your issue? You can find out more here.,other,auto_handle,other,auto_handle,Vague third-party-seller complaint
575902,Thank you for clarifying. I’ll do that tomorrow over the phone. Have a good night!,Hey! Glad we could be of service:).,other,auto_handle,other,auto_handle,Thank-you acknowledgment
2913157,"In stock and Fulfilled by Amazon, still showing the same. Standard shipping is actually from the 5t…",Items can dispatch from the time they're ordered until the day they arrive. Please keep us updated…,delivery_issue,auto_handle,delivery_issue,auto_handle,Expedited shipping not honored
2539659,Dear please take some inspiration from the mindful folk at who use recycled material in their packa…,"I understand your concern, Riitu. I've noted your comments and have forwarded your feedback interna…",other,auto_handle,other,auto_handle,Packaging feedback/suggestion
1059577,'Letterbox' is the one you have. Perhaps he mistook my letterbox for an epically small garage:-).,😕 I hope that is the case. Do let us know if the parcel is not located. We will certainly try to he…,delivery_issue,auto_handle,delivery_issue,auto_handle,Delivery location mishap
1651590,How much? How do I pay? I haven't shop online for once. I need the price in Nigeria's currency.,"In order to buy from our US site, you would need a credit card from the US. Try our global site.",order_inquiry,auto_handle,order_inquiry,auto_handle,Informational international payment question
173532,"I noticed the PS4 Slims are out of stock, but I did see a ""back order"" option yesterday but it woul…","Correct, the terms of the deals are while supplies last.",order_inquiry,auto_handle,order_inquiry,auto_handle,Informational stock/backorder question
1767516,"Yeah, they are. With your companies OWN carrier service. It’s garbage. 😒.",We want to escalate this to Amazon Logistics for investigation. Please send us more details.,delivery_issue,auto_handle,delivery_issue,escalate,Reference reply explicitly says they'd escalate to Amazon Logistics
2564017,Last TWO orders from LATE. And I have Prime! Now this!,I'm so sorry that your order hasn't arrived yet! We also have Chat and Email options available to y…,delivery_issue,auto_handle,delivery_issue,auto_handle,Repeated late delivery
2533546,bought phone from 1+3t Over heating and battery life issues. Phone replaced. Replaced device same i…,here and they'll help you in this.,other,auto_handle,other,auto_handle,"Recurring product defect, not covered by other categories"
2756723,Amazon is the carrier.,I would like to have someone from my team take a closer look into this with you. Please fill out yo…,delivery_issue,auto_handle,delivery_issue,auto_handle,Ongoing lost-package issue
80560,Per the email for the return my account should have received the credit when the item was received.,"If you still had questions about the return, we'd like to help out! Please contact us here so we ca…",billing_dispute,escalate,billing_dispute,escalate,"Refund/credit dispute, financial risk"
